GAME_DATE_EST,HOME_TEAM_NAME,VISITOR_TEAM_NAME,PTS_home,PTS_away,HOME_TEAM_WINS,MARKET_PROB_home,MARKET_PROB_away,prob_margin,correct,league,accepted,STATUS
2026-05-09,Obras Sanitarias W,El Talar W,,,,0.836115,0.163885,0.336115,,argentina_liga_femenina_women,1,not_started
2026-04-25,Vojvodina Novi Sad,OKK Beograd,,,,0.717439,0.282561,0.217439,,serbia_first_league,1,not_started
2026-04-25,Mladost Zemun,Cacak 94,,,,0.592105,0.407895,0.092105,,serbia_first_league,1,not_started
2026-04-25,BKK Radnicki,KK Metalac,,,,0.673077,0.326923,0.173077,,serbia_first_league,1,not_started
2026-05-02,Piestanske Cajky W,MBK Ruzomberok W,,,,0.563686,0.436314,0.063686,,slovakia_extraliga_women,1,not_started
2026-01-28,Grambling St.,Arkansas-Pine Bluff,,,,0.62341,0.37659,0.12341,,usa_ncaa,1,not_started
2026-01-29,Army,Lehigh,,,,0.455263,0.544737,0.044737,,usa_ncaa,1,not_started
2026-01-29,Cincinnati,Baylor,,,,0.628079,0.371921,0.128079,,usa_ncaa,1,not_started
2026-01-29,Auburn,Texas,,,,0.716738,0.283262,0.216738,,usa_ncaa,1,not_started
2026-01-29,Drake,Evansville,,,,0.79021,0.20979,0.29021,,usa_ncaa,1,not_started
2026-01-29,Arkansas State,Old Dominion,,,,0.823077,0.176923,0.323077,,usa_ncaa,1,not_started
2026-01-29,Georgetown,DePaul,,,,0.597964,0.402036,0.097964,,usa_ncaa,1,not_started
2026-01-29,Miami (FL),Stanford,,,,0.782765,0.217235,0.282765,,usa_ncaa,1,not_started
2026-01-29,Washington State,Seattle,,,,0.558442,0.441558,0.058442,,usa_ncaa,1,not_started
2026-01-29,Loyola Marymount,Oregon State,,,,0.671329,0.328671,0.171329,,usa_ncaa,1,not_started
2026-01-29,San Diego State,Colorado State,,,,0.774492,0.225508,0.274492,,usa_ncaa,1,not_started
2026-01-29,Oregon,UCLA,,,,0.364303,0.635697,0.135697,,usa_ncaa,1,not_started
2026-01-29,Furman,Samford,,,,0.731092,0.268908,0.231092,,usa_ncaa,1,not_started
2026-01-30,CSU Bakersfield,Cal Poly,,,,0.495957,0.504043,0.004043,,usa_ncaa,1,not_started
2026-01-30,CS Northridge,UC Davis,,,,0.510753,0.489247,0.010753,,usa_ncaa,1,not_started
2026-01-30,UC Irvine,Hawaii,,,,0.483871,0.516129,0.016129,,usa_ncaa,1,not_started
2026-01-31,Michigan State,Michigan,,,,0.473404,0.526596,0.026596,,usa_ncaa,1,not_started
2026-05-08,LKS Lodz,Spojnia Stargard,,,,0.837037,0.162963,0.337037,,poland_1_liga,1,not_started
2026-05-09,Starogard Gdanski,Bydgoszcz,,,,0.422043,0.577957,0.077957,,poland_1_liga,1,not_started
2026-06-18,Pau-Orthez,Poitiers,,,,0.73904,0.26096,0.23904,,France Elite 2,1,not_started
2026-06-19,Saigon Heat,Hanoi Buffaloes,,,,0.478378,0.521622,0.021622,,Vietnam Vba,1,not_started
2026-06-19,Cockburn Cougars W,Lakeside Lightning W,,,,0.915903,0.084097,0.415903,,Australia Nbl1 West Women,1,not_started
2026-06-19,Warwick Senators W,Kalamunda Eastern Suns W,,,,0.892324,0.107676,0.392324,,Australia Nbl1 West Women,1,not_started
2026-06-20,East Perth Eagles W,Rockingham Flames W,,,,0.291284,0.708716,0.208716,,Australia Nbl1 West Women,1,not_started
2026-01-29,Sitra Club,Bahrain Club,,,,0.81407,0.18593,0.31407,,bahrain_premier_league,1,not_started
2026-04-26,Lulea W,Sodertalje W,,,,0.799652,0.200348,0.299652,,sweden_basketligan_women,1,not_started
2026-05-02,Keravnos,AEL,,,,0.792115,0.207885,0.292115,,cyprus_division_a,1,not_started
2026-04-30,Fyllingen,Gimle,,,,0.656863,0.343137,0.156863,,norway_blno,1,not_started
2026-01-30,Fenerbahce 2 W,Bodrum W,,,,0.707094,0.292906,0.207094,,turkey_tkbl_women,1,not_started
2026-05-09,KCC Egis,Goyang Sono,,,,0.638404,0.361596,0.138404,,south_korea_kbl,1,not_started
2026-05-10,KCC Egis,Goyang Sono,,,,0.704698,0.295302,0.204698,,south_korea_kbl,1,not_started
2026-06-19,Winnipeg Sea Bears,Vancouver Bandits,,,,0.457219,0.542781,0.042781,,Canada Cebl,1,not_started
2026-06-20,Sturt Sabres,Woodville Warriors,,,,0.703016,0.296984,0.203016,,Australia Nbl1 Central,1,not_started
2026-06-20,Eastern Mavericks,Central Districts Lions,,,,0.397878,0.602122,0.102122,,Australia Nbl1 Central,1,not_started
2026-06-20,Southern Tigers,North Adelaide Rockets,,,,0.423181,0.576819,0.076819,,Australia Nbl1 Central,1,not_started
2026-06-19,Beeliar Boodjar,Lakeside Lightning,,,,0.77193,0.22807,0.27193,,Australia Nbl1 West,1,not_started
2026-06-19,Warwick Senators,Kalamunda Eastern Suns,,,,0.52459,0.47541,0.02459,,Australia Nbl1 West,1,not_started
2026-06-20,East Perth Eagles,Rockingham Flames,,,,0.134289,0.865711,0.365711,,Australia Nbl1 West,1,not_started
2026-04-26,Avellino Basket,Roseto,,,,0.807757,0.192243,0.307757,,italy_serie_a2,1,not_started
2026-05-09,Illiabum,CAB Madeira,,,,0.485955,0.514045,0.014045,,portugal_proliga,1,not_started
2026-05-09,Portimonense,CD Povoa,,,,0.359897,0.640103,0.140103,,portugal_proliga,1,not_started
2026-05-09,Shinshu,Fukushima,,,,0.489071,0.510929,0.010929,,japan_b2_league,1,not_started
2026-05-09,Kobe,Yokohama Excellence,,,,0.713647,0.286353,0.213647,,japan_b2_league,1,not_started
2026-01-30,Liberecko,Chomutov,,,,0.734341,0.265659,0.234341,,czech_republic_1_liga,1,not_started
2026-06-19,Zielona Gora,Legia,,,,0.455764,0.544236,0.044236,,Poland Basket Liga,1,not_started
2026-06-19,Besiktas,Fenerbahce,,,,0.310185,0.689815,0.189815,,Turkey Super Lig,1,not_started
2026-06-19,Pelita Jaya,Borneo Hornbills,,,,0.748428,0.251572,0.248428,,Indonesia Ibl,1,not_started
2026-04-26,Mechelen W,Namur W,,,,0.791367,0.208633,0.291367,,belgium_top_division_women,1,not_started
2026-06-13,Lietkabelis,Neptunas,,,,0.594805,0.405195,0.094805,,lithuania_lkl,1,not_started
2026-06-12,Zalgiris Kaunas,Juventus,,,,0.916667,0.083333,0.416667,,lithuania_lkl,1,not_started
2026-01-29,Cleveland Cavaliers,Los Angeles Lakers,,,,0.59194,0.40806,0.09194,,usa_nba,1,not_started
2026-01-29,Boston Celtics,Atlanta Hawks,,,,0.65566,0.34434,0.15566,,usa_nba,1,not_started
2026-01-29,Memphis Grizzlies,Charlotte Hornets,,,,0.467532,0.532468,0.032468,,usa_nba,1,not_started
2026-01-29,Dallas Mavericks,Minnesota Timberwolves,,,,0.282979,0.717021,0.217021,,usa_nba,1,not_started
2026-01-29,Utah Jazz,Golden State Warriors,,,,0.269547,0.730453,0.230453,,usa_nba,1,not_started
2026-01-29,Houston Rockets,San Antonio Spurs,,,,0.567775,0.432225,0.067775,,usa_nba,1,not_started
2026-01-28,Triglav W,Ilirija W,,,,0.65602,0.34398,0.15602,,slovenia_1_skl_women,1,not_started
2026-06-19,Indiana Fever W,Atlanta Dream W,,,,0.492147,0.507853,0.007853,,Usa Wnba,1,not_started
2026-06-20,Connecticut Sun W,Toronto Tempo W,,,,0.485564,0.514436,0.014436,,Usa Wnba,1,not_started
2026-06-20,Golden State Valkyries W,Minnesota Lynx W,,,,0.451948,0.548052,0.048052,,Usa Wnba,1,not_started
2026-05-08,Benfica W,Quinta Dos Lombos W,,,,0.55914,0.44086,0.05914,,portugal_lfb_women,1,not_started
2026-06-14,Bonn 3x3,Amsterdam 3x3,,,,0.5,0.5,0.0,,world_world_tour_vienna_3x3,1,not_started
2026-06-19,Alba Berlin,Bayern,,,,0.378446,0.621554,0.121554,,Germany Bbl,1,not_started
2026-01-29,Caimanes del Llano,Astros,,,,0.056211,0.943789,0.443789,,world_champions_league_americas,1,not_started
2026-01-30,Al Faisaly,Amman United,,,,0.57337,0.42663,0.07337,,jordan_premier_league,1,not_started
2026-01-30,Al Jalil Irbid,Al Jubaiha,,,,0.168239,0.831761,0.331761,,jordan_premier_league,1,not_started
2026-01-30,Al Ingliziya,Shabab Bushra,,,,0.815567,0.184433,0.315567,,jordan_premier_league,1,not_started
2026-01-30,Al Wehdat Amman,Ashrafieh,,,,0.879475,0.120525,0.379475,,jordan_premier_league,1,not_started
2026-06-19,Northern Tasmania W,Sandringham W,,,,0.172196,0.827804,0.327804,,Australia Nbl1 South Women,1,not_started
2026-06-19,Mt. Gambier W,Kilsyth W,,,,0.884658,0.115342,0.384658,,Australia Nbl1 South Women,1,not_started
2026-06-20,Geelong W,Ballarat W,,,,0.144645,0.855355,0.355355,,Australia Nbl1 South Women,1,not_started
2026-06-20,Bendigo Braves W,Melbourne Tigers W,,,,0.302108,0.697892,0.197892,,Australia Nbl1 South Women,1,not_started
